Hypothesis,Description,Direction,Support,Evidence
"[-@thm-demandmoreconstituents]: More constituents, more work on behalf of individuals.","*more constituents*, more work on behalf of individuals.",↑,"Mostly, yes","Larger population, more overall interbranch representation. Also for changes in state population for the Senate."
"[-@thm-demandmoredemanding]: More demanding constituents, more interbranch representation.","*more demanding* constituents, higher levels of interbranch representation.",↑,"Mostly, yes","More college educated is often associated with more interbranch representation, especially policy work. Government workers, sometimes."
"[-@thm-demanddisempowered]: Lower socio-economic status, less work on behalf of individuals.","lower socio-economic status, less work on behalf of individuals.",NA,No,No evidence
"[-@thm-demandgreaterneed]: More constituents with greater needs, more work on behalf of individuals, nonprofits, and local governments.","More constituents with greater needs, more work on behalf of individuals, nonprofits, and local governments.",↑/↓,"Mostly, yes","The more constituents receive public assistance, the more legislators work on behalf of nonprofits and local governments, and the more Senators help individuals."
"[-@thm-capacitylegexperience]: More experience, more interbranch representation.","More experience, more interbranch representation.",↑,Yes,Support for this hypothesis is robust. Experience has a larger impact on volume than on inequality.
[-@thm-capacityinstitutionalposition]: Committee leaders do more interbranch representation,Committee leaders do more interbranch representation,↑,For policy,"Driven by policy work, overall interbranch representation increases when legislators become chairs or ranking members of committees. Positive but inconsistent effects for subcommittee chairs."
[-@thm-capacityreporting]: More contact with agencies under one's committee's jurisdiction,More interbranch with agencies under one's committee's juristiction,↑,Yes,Legislators make more requests to an agency when they join a committee to which that agency reports.
"[-@thm-capacitystaff]: More staff/staff experience, more interbranch representation.","More staff/staff experience, more interbranch representation.",↑,"Little evidence, but limited tests","Increasing spending is only significantly associated with increasing corporate service and policy work, but we only have data for the House where allocations are the same and there is little variation to leverage."
"[-@thm-strategic-election]: Electorally vulnerable, more interbranch representation.","Electorally vulnerable, more interbranch representation.",↑*,"Possibly for general elections, very unclear for primaries","Interbranch representation is sometimes positively correlated with competitive general elections. Mixed, inconclusive evidence for competitive primaries."
"[-@thm-strategic-majority]: Minority party, more interbranch representation.","Legislators from the minority party, more interbranch representation.",↓,Inconsistent results,"Some specifications show a large significant positive relationship, others show a large significant negative relationship, and others show no relationship."
[-@thm-strategic-presidentmore]: Legislators in the President's party do more interbranch representation.,"Legislators from the President's party, more interbranch representation.",↑,"Only on behalf of businesses, nonprofits, and local governments",The results support this theory for the types of interbranch representation where the logic most clearly applies.
[-@thm-strategic-presidentless]: Legislators not in the President's party do more interbranch representation.,"Legislators not from the President's party, more interbranch representation.",↓,No,"No evidence, often the opposite"
"[-@thm-strategic-corporate]: More corporate PAC contributions, more interbranch corporate advocacy.","More corporate PAC contributions, more interbranch corporate advocacy.",↑ Corporate Interbranch (Constituent Service and Policy),Yes*,"*While consistent with the theory, correlations with other types of interbranch representation suggest something else may be going on."
[-@thm-strategic-republican]: Republicans advocate more for business interests.,Republicans advocate more for corporate interests.,↑ Corporate Interbranch (Constituent Service and Policy),Yes,Results support the theory.
[-@thm-strategic-supportagency]: More attention to ideologically proximate agencies.,More attention to ideologically proximate agencies.,↑ All forms of interbranch with ideologically proximate agencies,"For everything except for work on behalf of businesses, which are the opposite",Results align with the theory focusing on coalitional politics among agencies and congressional offices
[-@thm-strategic-opposeagency]: More attention to ideologically distant agencies.,More attention to ideologically distant agencies.,↑All forms of interbranch with ideologically distant agencies,"For work on behalf of businesses, everything else is the opposite","Results do not support the theoretical motivation for this hypothesis, rooted in oversight, not service."
"[-@thm-strategic-staff]: More staff of a given type, the more work of that type.","More staff of a given type, the more work of that type.",↑ That type of interbranch representation,Sometimes (limited data),Offices with more constituency service staff do more on behalf of nonprofits and local governments. Both legislative and constituency service staff are associated with policy work. Offices with more communications staff do less interbranch representation.
