Type of Interbranch Representation,Demand,Capacity,Strategic Choice
Individual Constituency Service,Legislators with more constituents do more; legislators who represent more government workers also do more. Senators with needier constituents do more.,"Experience matters, as do reporting committees (though only in the House).",Staff allocation and electoral vulnerability have no effects. More fundraising is associated with more service.
Corporate Constituency Service,Having more constituents and more demanding constituents correlated with greater provision of corporate service.,"Legislator experience is always correlated with greater provision of corporate service, and that reporting committee assignments and committee leadership positions are sometimes correlated with greater provision of corporate service.",Republicans and members of the president’s party who are more ideologically distant do more corporate service. Ideologically extreme legislators do less corporate service. Corporate contributions associated with corporate service in cross-sectional models.
Non-Profit/Local Government Constituency Service,Having more constituents and higher-need constituents is associated with more non-profit and local government constituency service.,Legislators with more experience always do more. House members on reporting committees do more.,"Members of the president's party, legislators who are ideologically closer to an agency, and legislators who spend more on constituency service staff do more. More fundraising is associated with more service."
General Policy Work,"Less associated with the number of constituents, but very associated with college grads",Most forms of capacity matter with large effects explaining a large share of overall inequality.,Doing more with aligned agencies is the only strategic choice that matters. Both legislative and const. service spending increase policy work and comms decreases it. Fundraising is positively associated.
Policy Work on Behalf Businesses,Only state population is correlated with the provision of corporate policy work,"Legislator experience is always correlated with greater provision of corporate policy, and that reporting committee assignments and committee leadership positions are sometimes correlated with greater provision of corporate policy.","Republicans do more. Ideologically extreme legislators consistently do less. Legislators who are more ideologically distant from an agency engage in more policy-work with that agency. House Members who are electorally vulnerable doing less. Corporate campaign contributions are correlated with greater corporate service in cross-sectional, but not within-legislator models."
Total Interbranch Representation,"Population explains a large share of inequality. Goverment workers and college educated explain variation, but only cross sectionally.",Most forms of capacity matter with large effects explaining a large share of overall inequality.,Very little effects of political environment and strategy except working with ideologically aligned agencies but staff allocation matters. Const. service funds is associated with more overall representation; comms staff is associated with less. Fundraising is positively assoicated.
Consistent Across All (Strong evidence),1. Population (though Senate only for general policy work),1. Experience. 2. Reporting Committees (in most specifications across every type),"1. Positively correlated with Fundraising (for some types, only in cross-sectional models)."
Inconclusive,-,"Prior experience in state legislature. Little evidence that subcommittee chairs do more, except perhaps general policy.","Interbranch representation is sometimes positively correlated with competitive general elections. Mixed, inconclusive for competitive primaries."
No evidence,NA,NA,NA
Matters for Some Types,"High demanding constituents affect several types, especially policy work and assisting individual businesses. Higher need constituents predicts help for nonprofits but only help for constituents among senators.",Committee chairs matter for general policy.,NA
Main takeaway,"More constituents = more interbranch representation, especially constituency service. But there is much variation left to explain.",Experience in office and committee assignments explain a large share of the variation. Past experience does not seem to matter.,"Legislative offices tend to work with aligned agencies, except on policy on behalf of business, where the work more with unalined agenices. Electoral pressure has little effect. Republicans do more for business. Offices that invest in constituency serivce do more interbranch representation, including on policy. Offices that invest in communications do less. Bigger fundraisers also do more interbranch representation of all types."
how you should think differntly,NA,You should think about legislative offices are underresourced bureaucracies. A defining feature of burecries have functions and the function of congressional office is much more than legislating.,NA
